"","edo","year","sexo","tipo_enfermedad","tasa"
"623","México",2001,"M","noTrans",594.7
"624","Michoacán",2001,"M","noTrans",490.3
"625","Morelos",2001,"M","noTrans",500.5
"626","Nayarit",2001,"M","noTrans",458.7
"627","Nuevo León",2001,"M","noTrans",588.1
"628","Oaxaca",2001,"M","noTrans",466.8
"629","Puebla",2001,"M","noTrans",573.9
"630","Querétaro",2001,"M","noTrans",575.5
"631","Quintana Roo",2001,"M","noTrans",430.6
"632","San Luis Potosí",2001,"M","noTrans",457.7
"633","Sinaloa",2001,"M","noTrans",517.8
"634","Sonora",2001,"M","noTrans",661.1
"635","Tabasco",2001,"M","noTrans",516.2
"636","Tamaulipas",2001,"M","noTrans",564.5
"637","Tlaxcala",2001,"M","noTrans",497.6
"638","Veracruz",2001,"M","noTrans",561.5
"639","Yucatán",2001,"M","noTrans",502.6
"640","Zacatecas",2001,"M","noTrans",474.8
"641","Aguascalientes",2002,"M","noTrans",588.5
"642","Baja California",2002,"M","noTrans",658.1
"643","Baja California Sur",2002,"M","noTrans",598.3
"644","Campeche",2002,"M","noTrans",459.4
"645","Coahuila",2002,"M","noTrans",637.9
"646","Colima",2002,"M","noTrans",563.4
"647","Chiapas",2002,"M","noTrans",463.9
"648","Chihuahua",2002,"M","noTrans",661
"649","Distrito Federal",2002,"M","noTrans",625.3
"650","Durango",2002,"M","noTrans",531.6
"651","Guanajuato",2002,"M","noTrans",556.3
"652","Guerrero",2002,"M","noTrans",376.8
"653","Hidalgo",2002,"M","noTrans",548.1
"654","Jalisco",2002,"M","noTrans",587.8
"655","México",2002,"M","noTrans",592.9
"656","Michoacán",2002,"M","noTrans",505.3
"657","Morelos",2002,"M","noTrans",521
"658","Nayarit",2002,"M","noTrans",505.8
"659","Nuevo León",2002,"M","noTrans",602.9
"660","Oaxaca",2002,"M","noTrans",485.3
"661","Puebla",2002,"M","noTrans",589.2
"662","Querétaro",2002,"M","noTrans",595.5
"663","Quintana Roo",2002,"M","noTrans",439
"664","San Luis Potosí",2002,"M","noTrans",472.8
"665","Sinaloa",2002,"M","noTrans",543
"666","Sonora",2002,"M","noTrans",666.9
"667","Tabasco",2002,"M","noTrans",530.4
"668","Tamaulipas",2002,"M","noTrans",573.2
"669","Tlaxcala",2002,"M","noTrans",505.9
"670","Veracruz",2002,"M","noTrans",574.7
"671","Yucatán",2002,"M","noTrans",509.1
"672","Zacatecas",2002,"M","noTrans",491.1
"673","Aguascalientes",2003,"M","noTrans",587.5
"674","Baja California",2003,"M","noTrans",677.3
"675","Baja California Sur",2003,"M","noTrans",612.6
"676","Campeche",2003,"M","noTrans",476.7
"677","Coahuila",2003,"M","noTrans",660.9
"678","Colima",2003,"M","noTrans",516.3
"679","Chiapas",2003,"M","noTrans",468.1
"680","Chihuahua",2003,"M","noTrans",679.2
"681","Distrito Federal",2003,"M","noTrans",636
"682","Durango",2003,"M","noTrans",544.2
"683","Guanajuato",2003,"M","noTrans",558.4
"684","Guerrero",2003,"M","noTrans",397.1
"685","Hidalgo",2003,"M","noTrans",526.2
"686","Jalisco",2003,"M","noTrans",587.3
"687","México",2003,"M","noTrans",599.2
"688","Michoacán",2003,"M","noTrans",510.9
"689","Morelos",2003,"M","noTrans",507.7
"690","Nayarit",2003,"M","noTrans",490.6
"691","Nuevo León",2003,"M","noTrans",590.3
"692","Oaxaca",2003,"M","noTrans",483.9
"693","Puebla",2003,"M","noTrans",592.3
"694","Querétaro",2003,"M","noTrans",591.1
"695","Quintana Roo",2003,"M","noTrans",470
"696","San Luis Potosí",2003,"M","noTrans",500.6
"697","Sinaloa",2003,"M","noTrans",540.8
"698","Sonora",2003,"M","noTrans",671.6
"699","Tabasco",2003,"M","noTrans",558.8
"700","Tamaulipas",2003,"M","noTrans",573
"701","Tlaxcala",2003,"M","noTrans",480.7
"702","Veracruz",2003,"M","noTrans",594.9
"703","Yucatán",2003,"M","noTrans",540.6
"704","Zacatecas",2003,"M","noTrans",486.6
"705","Aguascalientes",2004,"M","noTrans",572
"706","Baja California",2004,"M","noTrans",660.8
"707","Baja California Sur",2004,"M","noTrans",579.8
"708","Campeche",2004,"M","noTrans",491.7
"709","Coahuila",2004,"M","noTrans",629.1
"710","Colima",2004,"M","noTrans",527.6
"711","Chiapas",2004,"M","noTrans",456.4
"712","Chihuahua",2004,"M","noTrans",627
"713","Distrito Federal",2004,"M","noTrans",636.6
"714","Durango",2004,"M","noTrans",520.7
"715","Guanajuato",2004,"M","noTrans",547.8
"716","Guerrero",2004,"M","noTrans",395.3
"717","Hidalgo",2004,"M","noTrans",542.1
"718","Jalisco",2004,"M","noTrans",570.2
"719","México",2004,"M","noTrans",589.1
"720","Michoacán",2004,"M","noTrans",516.7
"721","Morelos",2004,"M","noTrans",524.7
"722","Nayarit",2004,"M","noTrans",489
"723","Nuevo León",2004,"M","noTrans",586.7
"724","Oaxaca",2004,"M","noTrans",493.6
"725","Puebla",2004,"M","noTrans",589
"726","Querétaro",2004,"M","noTrans",558.3
"727","Quintana Roo",2004,"M","noTrans",454.6
"728","San Luis Potosí",2004,"M","noTrans",502.1
"729","Sinaloa",2004,"M","noTrans",519.3
"730","Sonora",2004,"M","noTrans",636.4
"731","Tabasco",2004,"M","noTrans",560.9
"732","Tamaulipas",2004,"M","noTrans",569.8
"733","Tlaxcala",2004,"M","noTrans",524.8
"734","Veracruz",2004,"M","noTrans",583.2
"735","Yucatán",2004,"M","noTrans",485.4
"736","Zacatecas",2004,"M","noTrans",506.7
"737","Aguascalientes",2005,"M","noTrans",565.1
"738","Baja California",2005,"M","noTrans",634.7
"739","Baja California Sur",2005,"M","noTrans",601.8
"740","Campeche",2005,"M","noTrans",505.9
"741","Coahuila",2005,"M","noTrans",682.4
"742","Colima",2005,"M","noTrans",573.3
"743","Chiapas",2005,"M","noTrans",468.6
"744","Chihuahua",2005,"M","noTrans",658.6
"745","Distrito Federal",2005,"M","noTrans",634.4
"746","Durango",2005,"M","noTrans",590.3
"747","Guanajuato",2005,"M","noTrans",576.3
"748","Guerrero",2005,"M","noTrans",396.4
"749","Hidalgo",2005,"M","noTrans",555.6
"750","Jalisco",2005,"M","noTrans",589.3
"751","México",2005,"M","noTrans",588.5
"752","Michoacán",2005,"M","noTrans",518.8
"753","Morelos",2005,"M","noTrans",522.2
"754","Nayarit",2005,"M","noTrans",521.6
"755","Nuevo León",2005,"M","noTrans",633.3
"756","Oaxaca",2005,"M","noTrans",521.1
"757","Puebla",2005,"M","noTrans",599.2
"758","Querétaro",2005,"M","noTrans",580.8
"759","Quintana Roo",2005,"M","noTrans",466.8
"760","San Luis Potosí",2005,"M","noTrans",500
"761","Sinaloa",2005,"M","noTrans",529.3
"762","Sonora",2005,"M","noTrans",656.9
"763","Tabasco",2005,"M","noTrans",566.6
"764","Tamaulipas",2005,"M","noTrans",568.5
"765","Tlaxcala",2005,"M","noTrans",482.4
"766","Veracruz",2005,"M","noTrans",595
"767","Yucatán",2005,"M","noTrans",512.9
"768","Zacatecas",2005,"M","noTrans",478.2
"769","Aguascalientes",2006,"M","noTrans",588.9
"770","Baja California",2006,"M","noTrans",600.2
"771","Baja California Sur",2006,"M","noTrans",608.4
"772","Campeche",2006,"M","noTrans",483.6
"773","Coahuila",2006,"M","noTrans",639.5
"774","Colima",2006,"M","noTrans",579
"775","Chiapas",2006,"M","noTrans",483
"776","Chihuahua",2006,"M","noTrans",640.3
"777","Distrito Federal",2006,"M","noTrans",615
"778","Durango",2006,"M","noTrans",592.5
"779","Guanajuato",2006,"M","noTrans",557.5
"780","Guerrero",2006,"M","noTrans",371.4
"781","Hidalgo",2006,"M","noTrans",538.6
"782","Jalisco",2006,"M","noTrans",567.1
"783","México",2006,"M","noTrans",578.2
"784","Michoacán",2006,"M","noTrans",513.8
"785","Morelos",2006,"M","noTrans",513.5
"786","Nayarit",2006,"M","noTrans",502.2
"787","Nuevo León",2006,"M","noTrans",587.8
"788","Oaxaca",2006,"M","noTrans",495.8
"789","Puebla",2006,"M","noTrans",581.4
"790","Querétaro",2006,"M","noTrans",585.7
"791","Quintana Roo",2006,"M","noTrans",435.3
"792","San Luis Potosí",2006,"M","noTrans",492.1
"793","Sinaloa",2006,"M","noTrans",523.8
"794","Sonora",2006,"M","noTrans",630.8
"795","Tabasco",2006,"M","noTrans",558.9
"796","Tamaulipas",2006,"M","noTrans",568
"797","Tlaxcala",2006,"M","noTrans",528.7
"798","Veracruz",2006,"M","noTrans",579.6
"799","Yucatán",2006,"M","noTrans",523.3
"800","Zacatecas",2006,"M","noTrans",482.1
"801","Aguascalientes",2007,"M","noTrans",608.3
"802","Baja California",2007,"M","noTrans",612.8
"803","Baja California Sur",2007,"M","noTrans",596.3
"804","Campeche",2007,"M","noTrans",492.2
"805","Coahuila",2007,"M","noTrans",631.2
"806","Colima",2007,"M","noTrans",574.8
"807","Chiapas",2007,"M","noTrans",499.9
"808","Chihuahua",2007,"M","noTrans",635.5
"809","Distrito Federal",2007,"M","noTrans",610.5
"810","Durango",2007,"M","noTrans",576.1
"811","Guanajuato",2007,"M","noTrans",566.8
"812","Guerrero",2007,"M","noTrans",435.1
"813","Hidalgo",2007,"M","noTrans",555.5
"814","Jalisco",2007,"M","noTrans",571.6
"815","México",2007,"M","noTrans",574.4
"816","Michoacán",2007,"M","noTrans",520.5
"817","Morelos",2007,"M","noTrans",529.6
"818","Nayarit",2007,"M","noTrans",526.7
"819","Nuevo León",2007,"M","noTrans",620.4
"820","Oaxaca",2007,"M","noTrans",510.1
"821","Puebla",2007,"M","noTrans",576.5
"822","Querétaro",2007,"M","noTrans",573.5
"823","Quintana Roo",2007,"M","noTrans",491.5
"824","San Luis Potosí",2007,"M","noTrans",508.5
"825","Sinaloa",2007,"M","noTrans",503.1
"826","Sonora",2007,"M","noTrans",638.7
"827","Tabasco",2007,"M","noTrans",563.9
"828","Tamaulipas",2007,"M","noTrans",580.2
"829","Tlaxcala",2007,"M","noTrans",530.6
"830","Veracruz",2007,"M","noTrans",589.5
"831","Yucatán",2007,"M","noTrans",542.9
"832","Zacatecas",2007,"M","noTrans",493.1
"833","Aguascalientes",2008,"M","noTrans",608.1
"834","Baja California",2008,"M","noTrans",621.8
"835","Baja California Sur",2008,"M","noTrans",594
"836","Campeche",2008,"M","noTrans",544
"837","Coahuila",2008,"M","noTrans",664.7
"838","Colima",2008,"M","noTrans",579.5
"839","Chiapas",2008,"M","noTrans",505.3
"840","Chihuahua",2008,"M","noTrans",644.7
"841","Distrito Federal",2008,"M","noTrans",606.5
"842","Durango",2008,"M","noTrans",619.7
"843","Guanajuato",2008,"M","noTrans",602.6
"844","Guerrero",2008,"M","noTrans",453.2
"845","Hidalgo",2008,"M","noTrans",586.1
"846","Jalisco",2008,"M","noTrans",578.8
"847","México",2008,"M","noTrans",576.7
"848","Michoacán",2008,"M","noTrans",542.5
"849","Morelos",2008,"M","noTrans",553.3
"850","Nayarit",2008,"M","noTrans",532.2
"851","Nuevo León",2008,"M","noTrans",610.7
"852","Oaxaca",2008,"M","noTrans",520
"853","Puebla",2008,"M","noTrans",593.8
"854","Querétaro",2008,"M","noTrans",615.5
"855","Quintana Roo",2008,"M","noTrans",477.3
"856","San Luis Potosí",2008,"M","noTrans",512.5
"857","Sinaloa",2008,"M","noTrans",550.9
"858","Sonora",2008,"M","noTrans",643.9
"859","Tabasco",2008,"M","noTrans",566
"860","Tamaulipas",2008,"M","noTrans",588.3
"861","Tlaxcala",2008,"M","noTrans",529.1
"862","Veracruz",2008,"M","noTrans",608.9
"863","Yucatán",2008,"M","noTrans",542.2
"864","Zacatecas",2008,"M","noTrans",503.8
"865","Aguascalientes",2000,"F","noTrans",416.8
"866","Baja California",2000,"F","noTrans",503.8
"867","Baja California Sur",2000,"F","noTrans",409.9
"868","Campeche",2000,"F","noTrans",391.5
"869","Coahuila",2000,"F","noTrans",500.6
"870","Colima",2000,"F","noTrans",436.4
"871","Chiapas",2000,"F","noTrans",402.6
"872","Chihuahua",2000,"F","noTrans",503.7
"873","Distrito Federal",2000,"F","noTrans",476.8
"874","Durango",2000,"F","noTrans",400.5
"875","Guanajuato",2000,"F","noTrans",420.1
"876","Guerrero",2000,"F","noTrans",282.3
"877","Hidalgo",2000,"F","noTrans",355.2
"878","Jalisco",2000,"F","noTrans",452.6
"879","México",2000,"F","noTrans",466
"880","Michoacán",2000,"F","noTrans",394.1
"881","Morelos",2000,"F","noTrans",396.8
"882","Nayarit",2000,"F","noTrans",389.7
"883","Nuevo León",2000,"F","noTrans",452
"884","Oaxaca",2000,"F","noTrans",367.3
"885","Puebla",2000,"F","noTrans",417.4
"886","Querétaro",2000,"F","noTrans",429.4
"887","Quintana Roo",2000,"F","noTrans",364.7
"888","San Luis Potosí",2000,"F","noTrans",376.3
"889","Sinaloa",2000,"F","noTrans",377.4
"890","Sonora",2000,"F","noTrans",458.4
"891","Tabasco",2000,"F","noTrans",409.2
"892","Tamaulipas",2000,"F","noTrans",431.5
"893","Tlaxcala",2000,"F","noTrans",378.6
"894","Veracruz",2000,"F","noTrans",415.2
"895","Yucatán",2000,"F","noTrans",422.8
"896","Zacatecas",2000,"F","noTrans",382.1
"897","Aguascalientes",2001,"F","noTrans",448.2
"898","Baja California",2001,"F","noTrans",484.4
"899","Baja California Sur",2001,"F","noTrans",417
"900","Campeche",2001,"F","noTrans",363.8
"901","Coahuila",2001,"F","noTrans",510
"902","Colima",2001,"F","noTrans",431.2
"903","Chiapas",2001,"F","noTrans",405.7
"904","Chihuahua",2001,"F","noTrans",519.7
"905","Distrito Federal",2001,"F","noTrans",469.9
"906","Durango",2001,"F","noTrans",409.7
"907","Guanajuato",2001,"F","noTrans",410.4
"908","Guerrero",2001,"F","noTrans",299.2
"909","Hidalgo",2001,"F","noTrans",375.8
"910","Jalisco",2001,"F","noTrans",437.8
"911","México",2001,"F","noTrans",462.8
"912","Michoacán",2001,"F","noTrans",386
"913","Morelos",2001,"F","noTrans",403.4
"914","Nayarit",2001,"F","noTrans",375.5
"915","Nuevo León",2001,"F","noTrans",439.4
"916","Oaxaca",2001,"F","noTrans",367.5
"917","Puebla",2001,"F","noTrans",417.9
"918","Querétaro",2001,"F","noTrans",405.6
"919","Quintana Roo",2001,"F","noTrans",353.8
"920","San Luis Potosí",2001,"F","noTrans",372.3
"921","Sinaloa",2001,"F","noTrans",369
"922","Sonora",2001,"F","noTrans",472.9
"923","Tabasco",2001,"F","noTrans",460
"924","Tamaulipas",2001,"F","noTrans",425.2
"925","Tlaxcala",2001,"F","noTrans",414.8
"926","Veracruz",2001,"F","noTrans",418.2
"927","Yucatán",2001,"F","noTrans",430.6
"928","Zacatecas",2001,"F","noTrans",385.4
"929","Aguascalientes",2002,"F","noTrans",483.3
"930","Baja California",2002,"F","noTrans",474.6
"931","Baja California Sur",2002,"F","noTrans",408.7
"932","Campeche",2002,"F","noTrans",395.4
"933","Coahuila",2002,"F","noTrans",511.8
"934","Colima",2002,"F","noTrans",410
"935","Chiapas",2002,"F","noTrans",406.1
"936","Chihuahua",2002,"F","noTrans",506.4
"937","Distrito Federal",2002,"F","noTrans",464
"938","Durango",2002,"F","noTrans",397.8
"939","Guanajuato",2002,"F","noTrans",445.2
"940","Guerrero",2002,"F","noTrans",296.2
"941","Hidalgo",2002,"F","noTrans",387.9
"942","Jalisco",2002,"F","noTrans",455.5
"943","México",2002,"F","noTrans",466.3
"944","Michoacán",2002,"F","noTrans",407.4
"945","Morelos",2002,"F","noTrans",407.3
"946","Nayarit",2002,"F","noTrans",389.7
"947","Nuevo León",2002,"F","noTrans",447.2
"948","Oaxaca",2002,"F","noTrans",380.6
"949","Puebla",2002,"F","noTrans",420.6
"950","Querétaro",2002,"F","noTrans",411.8
"951","Quintana Roo",2002,"F","noTrans",362.7
"952","San Luis Potosí",2002,"F","noTrans",384.7
"953","Sinaloa",2002,"F","noTrans",387.1
"954","Sonora",2002,"F","noTrans",455.8
"955","Tabasco",2002,"F","noTrans",433.6
"956","Tamaulipas",2002,"F","noTrans",418.4
"957","Tlaxcala",2002,"F","noTrans",406.5
"958","Veracruz",2002,"F","noTrans",416.2
"959","Yucatán",2002,"F","noTrans",439
"960","Zacatecas",2002,"F","noTrans",400.1
"961","Aguascalientes",2003,"F","noTrans",459.1
"962","Baja California",2003,"F","noTrans",461.1
"963","Baja California Sur",2003,"F","noTrans",401.8
"964","Campeche",2003,"F","noTrans",383.4
"965","Coahuila",2003,"F","noTrans",528.7
"966","Colima",2003,"F","noTrans",400.8
"967","Chiapas",2003,"F","noTrans",406.9
"968","Chihuahua",2003,"F","noTrans",508.6
"969","Distrito Federal",2003,"F","noTrans",468
"970","Durango",2003,"F","noTrans",414.3
"971","Guanajuato",2003,"F","noTrans",443.5
"972","Guerrero",2003,"F","noTrans",322.4
"973","Hidalgo",2003,"F","noTrans",384.8
"974","Jalisco",2003,"F","noTrans",450.9
"975","México",2003,"F","noTrans",471.2
"976","Michoacán",2003,"F","noTrans",405.6
"977","Morelos",2003,"F","noTrans",413.9
"978","Nayarit",2003,"F","noTrans",379.3
"979","Nuevo León",2003,"F","noTrans",452
"980","Oaxaca",2003,"F","noTrans",375
"981","Puebla",2003,"F","noTrans",433.5
"982","Querétaro",2003,"F","noTrans",437.4
"983","Quintana Roo",2003,"F","noTrans",375.1
"984","San Luis Potosí",2003,"F","noTrans",406.4
"985","Sinaloa",2003,"F","noTrans",397.4
"986","Sonora",2003,"F","noTrans",476.5
"987","Tabasco",2003,"F","noTrans",459.4
"988","Tamaulipas",2003,"F","noTrans",425.3
"989","Tlaxcala",2003,"F","noTrans",400.9
"990","Veracruz",2003,"F","noTrans",433.2
"991","Yucatán",2003,"F","noTrans",450.2
"992","Zacatecas",2003,"F","noTrans",405.1
"993","Aguascalientes",2004,"F","noTrans",442.8
"994","Baja California",2004,"F","noTrans",473.7
"995","Baja California Sur",2004,"F","noTrans",392.4
"996","Campeche",2004,"F","noTrans",408.8
"997","Coahuila",2004,"F","noTrans",491.5
"998","Colima",2004,"F","noTrans",432
"999","Chiapas",2004,"F","noTrans",406.4
"1000","Chihuahua",2004,"F","noTrans",479.2
"1001","Distrito Federal",2004,"F","noTrans",468.6
"1002","Durango",2004,"F","noTrans",403.1
"1003","Guanajuato",2004,"F","noTrans",432.2
"1004","Guerrero",2004,"F","noTrans",304.5
"1005","Hidalgo",2004,"F","noTrans",392.6
"1006","Jalisco",2004,"F","noTrans",431.6
"1007","México",2004,"F","noTrans",460.2
"1008","Michoacán",2004,"F","noTrans",394.9
"1009","Morelos",2004,"F","noTrans",408.4
"1010","Nayarit",2004,"F","noTrans",386.3
"1011","Nuevo León",2004,"F","noTrans",439.8
"1012","Oaxaca",2004,"F","noTrans",371.9
"1013","Puebla",2004,"F","noTrans",437.5
"1014","Querétaro",2004,"F","noTrans",423.3
"1015","Quintana Roo",2004,"F","noTrans",379.4
"1016","San Luis Potosí",2004,"F","noTrans",387.5
"1017","Sinaloa",2004,"F","noTrans",387.5
"1018","Sonora",2004,"F","noTrans",471.5
"1019","Tabasco",2004,"F","noTrans",435.4
"1020","Tamaulipas",2004,"F","noTrans",426.6
"1021","Tlaxcala",2004,"F","noTrans",426.3
"1022","Veracruz",2004,"F","noTrans",442.4
"1023","Yucatán",2004,"F","noTrans",427.1
"1024","Zacatecas",2004,"F","noTrans",393.3
"1025","Aguascalientes",2005,"F","noTrans",464
"1026","Baja California",2005,"F","noTrans",463.1
"1027","Baja California Sur",2005,"F","noTrans",397.7
"1028","Campeche",2005,"F","noTrans",387.7
"1029","Coahuila",2005,"F","noTrans",538.9
"1030","Colima",2005,"F","noTrans",430
"1031","Chiapas",2005,"F","noTrans",412.3
"1032","Chihuahua",2005,"F","noTrans",508.7
"1033","Distrito Federal",2005,"F","noTrans",460.9
"1034","Durango",2005,"F","noTrans",448.3
"1035","Guanajuato",2005,"F","noTrans",444.3
"1036","Guerrero",2005,"F","noTrans",310.2
"1037","Hidalgo",2005,"F","noTrans",409.3
"1038","Jalisco",2005,"F","noTrans",454.3
"1039","México",2005,"F","noTrans",472.1
"1040","Michoacán",2005,"F","noTrans",404.4
"1041","Morelos",2005,"F","noTrans",414.2
"1042","Nayarit",2005,"F","noTrans",395.4
"1043","Nuevo León",2005,"F","noTrans",461.4
"1044","Oaxaca",2005,"F","noTrans",390.9
"1045","Puebla",2005,"F","noTrans",441.6
"1046","Querétaro",2005,"F","noTrans",441
"1047","Quintana Roo",2005,"F","noTrans",374.6
"1048","San Luis Potosí",2005,"F","noTrans",391.7
"1049","Sinaloa",2005,"F","noTrans",382.1
"1050","Sonora",2005,"F","noTrans",478.6
"1051","Tabasco",2005,"F","noTrans",467.5
"1052","Tamaulipas",2005,"F","noTrans",432.4
"1053","Tlaxcala",2005,"F","noTrans",407.4
"1054","Veracruz",2005,"F","noTrans",445.3
"1055","Yucatán",2005,"F","noTrans",450.5
"1056","Zacatecas",2005,"F","noTrans",422.8
"1057","Aguascalientes",2006,"F","noTrans",437.1
"1058","Baja California",2006,"F","noTrans",454.2
"1059","Baja California Sur",2006,"F","noTrans",425.9
"1060","Campeche",2006,"F","noTrans",422.9
"1061","Coahuila",2006,"F","noTrans",493.2
"1062","Colima",2006,"F","noTrans",424.7
"1063","Chiapas",2006,"F","noTrans",429.5
"1064","Chihuahua",2006,"F","noTrans",504.9
"1065","Distrito Federal",2006,"F","noTrans",445.4
"1066","Durango",2006,"F","noTrans",430.7
"1067","Guanajuato",2006,"F","noTrans",428.8
"1068","Guerrero",2006,"F","noTrans",295.5
"1069","Hidalgo",2006,"F","noTrans",388.8
"1070","Jalisco",2006,"F","noTrans",438
"1071","México",2006,"F","noTrans",452.9
"1072","Michoacán",2006,"F","noTrans",391.2
"1073","Morelos",2006,"F","noTrans",414.3
"1074","Nayarit",2006,"F","noTrans",381.1
"1075","Nuevo León",2006,"F","noTrans",431.3
"1076","Oaxaca",2006,"F","noTrans",374.6
"1077","Puebla",2006,"F","noTrans",433.7
"1078","Querétaro",2006,"F","noTrans",419.9
"1079","Quintana Roo",2006,"F","noTrans",343.2
"1080","San Luis Potosí",2006,"F","noTrans",386.3
"1081","Sinaloa",2006,"F","noTrans",375.5
"1082","Sonora",2006,"F","noTrans",449.3
"1083","Tabasco",2006,"F","noTrans",450.1
"1084","Tamaulipas",2006,"F","noTrans",416.8
"1085","Tlaxcala",2006,"F","noTrans",410.1
"1086","Veracruz",2006,"F","noTrans",436.6
"1087","Yucatán",2006,"F","noTrans",427.5
"1088","Zacatecas",2006,"F","noTrans",393.2
"1089","Aguascalientes",2007,"F","noTrans",439
"1090","Baja California",2007,"F","noTrans",443.3
"1091","Baja California Sur",2007,"F","noTrans",439
"1092","Campeche",2007,"F","noTrans",417.1
"1093","Coahuila",2007,"F","noTrans",519.8
"1094","Colima",2007,"F","noTrans",391.3
"1095","Chiapas",2007,"F","noTrans",437.4
"1096","Chihuahua",2007,"F","noTrans",496.9
"1097","Distrito Federal",2007,"F","noTrans",449.7
"1098","Durango",2007,"F","noTrans",452.5
"1099","Guanajuato",2007,"F","noTrans",433.9
"1100","Guerrero",2007,"F","noTrans",324.5
"1101","Hidalgo",2007,"F","noTrans",421
"1102","Jalisco",2007,"F","noTrans",434
"1103","México",2007,"F","noTrans",457.1
"1104","Michoacán",2007,"F","noTrans",402.3
"1105","Morelos",2007,"F","noTrans",418.8
"1106","Nayarit",2007,"F","noTrans",385.7
"1107","Nuevo León",2007,"F","noTrans",446
"1108","Oaxaca",2007,"F","noTrans",399.6
"1109","Puebla",2007,"F","noTrans",439.1
"1110","Querétaro",2007,"F","noTrans",420.5
"1111","Quintana Roo",2007,"F","noTrans",382.9
"1112","San Luis Potosí",2007,"F","noTrans",397.3
"1113","Sinaloa",2007,"F","noTrans",353.9
"1114","Sonora",2007,"F","noTrans",431.6
"1115","Tabasco",2007,"F","noTrans",449.4
"1116","Tamaulipas",2007,"F","noTrans",427.8
"1117","Tlaxcala",2007,"F","noTrans",414.3
"1118","Veracruz",2007,"F","noTrans",448.5
"1119","Yucatán",2007,"F","noTrans",438.8
"1120","Zacatecas",2007,"F","noTrans",412.2
"1121","Aguascalientes",2008,"F","noTrans",463.8
"1122","Baja California",2008,"F","noTrans",443.3
"1123","Baja California Sur",2008,"F","noTrans",425.5
"1124","Campeche",2008,"F","noTrans",428.3
"1125","Coahuila",2008,"F","noTrans",513.5
"1126","Colima",2008,"F","noTrans",433.5
"1127","Chiapas",2008,"F","noTrans",442.7
"1128","Chihuahua",2008,"F","noTrans",499.7
"1129","Distrito Federal",2008,"F","noTrans",447
"1130","Durango",2008,"F","noTrans",494.8
"1131","Guanajuato",2008,"F","noTrans",444.6
"1132","Guerrero",2008,"F","noTrans",354
"1133","Hidalgo",2008,"F","noTrans",441.5
"1134","Jalisco",2008,"F","noTrans",434.2
"1135","México",2008,"F","noTrans",456.3
"1136","Michoacán",2008,"F","noTrans",415.8
"1137","Morelos",2008,"F","noTrans",440.5
"1138","Nayarit",2008,"F","noTrans",400.4
"1139","Nuevo León",2008,"F","noTrans",441.3
"1140","Oaxaca",2008,"F","noTrans",399.3
"1141","Puebla",2008,"F","noTrans",435.3
"1142","Querétaro",2008,"F","noTrans",452.3
"1143","Quintana Roo",2008,"F","noTrans",387.7
"1144","San Luis Potosí",2008,"F","noTrans",417
"1145","Sinaloa",2008,"F","noTrans",402.5
"1146","Sonora",2008,"F","noTrans",453.6
"1147","Tabasco",2008,"F","noTrans",478.5
"1148","Tamaulipas",2008,"F","noTrans",428.9
"1149","Tlaxcala",2008,"F","noTrans",422.8
"1150","Veracruz",2008,"F","noTrans",450.6
"1151","Yucatán",2008,"F","noTrans",454.1
"1152","Zacatecas",2008,"F","noTrans",427.4
"1153","Aguascalientes",2000,"M","lesiones",82.9
"1154","Baja California",2000,"M","lesiones",135.9
"1155","Baja California Sur",2000,"M","lesiones",95.8
"1156","Campeche",2000,"M","lesiones",105.8
"1157","Coahuila",2000,"M","lesiones",75
"1158","Colima",2000,"M","lesiones",97.2
"1159","Chiapas",2000,"M","lesiones",116.5
"1160","Chihuahua",2000,"M","lesiones",137.1
"1161","Distrito Federal",2000,"M","lesiones",74.3
"1162","Durango",2000,"M","lesiones",89.6
"1163","Guanajuato",2000,"M","lesiones",92.8
"1164","Guerrero",2000,"M","lesiones",140.1
"1165","Hidalgo",2000,"M","lesiones",96.7
"1166","Jalisco",2000,"M","lesiones",98.6
"1167","México",2000,"M","lesiones",94.4
"1168","Michoacán",2000,"M","lesiones",134.7
"1169","Morelos",2000,"M","lesiones",96.4
"1170","Nayarit",2000,"M","lesiones",106.1
"1171","Nuevo León",2000,"M","lesiones",63.9
"1172","Oaxaca",2000,"M","lesiones",122.3
"1173","Puebla",2000,"M","lesiones",98.4
"1174","Querétaro",2000,"M","lesiones",103.8
"1175","Quintana Roo",2000,"M","lesiones",98.6
"1176","San Luis Potosí",2000,"M","lesiones",94.2
"1177","Sinaloa",2000,"M","lesiones",115.4
"1178","Sonora",2000,"M","lesiones",100.4
"1179","Tabasco",2000,"M","lesiones",123.8
"1180","Tamaulipas",2000,"M","lesiones",89.9
"1181","Tlaxcala",2000,"M","lesiones",81.7
"1182","Veracruz",2000,"M","lesiones",86.7
"1183","Yucatán",2000,"M","lesiones",77
"1184","Zacatecas",2000,"M","lesiones",105
"1185","Aguascalientes",2001,"M","lesiones",79.2
"1186","Baja California",2001,"M","lesiones",123.7
"1187","Baja California Sur",2001,"M","lesiones",89
"1188","Campeche",2001,"M","lesiones",82.5
"1189","Coahuila",2001,"M","lesiones",78.7
"1190","Colima",2001,"M","lesiones",97.3
"1191","Chiapas",2001,"M","lesiones",102.8
"1192","Chihuahua",2001,"M","lesiones",132.1
"1193","Distrito Federal",2001,"M","lesiones",74.8
