"","edo","year","sexo","tipo_enfermedad","tasa"
"126","Veracruz",2003,"M","trans",93.6
"127","Yucatán",2003,"M","trans",80.5
"128","Zacatecas",2003,"M","trans",71.1
"129","Aguascalientes",2004,"M","trans",65.8
"130","Baja California",2004,"M","trans",102.6
"131","Baja California Sur",2004,"M","trans",87.3
"132","Campeche",2004,"M","trans",76.3
"133","Coahuila",2004,"M","trans",67.8
"134","Colima",2004,"M","trans",64.1
"135","Chiapas",2004,"M","trans",114
"136","Chihuahua",2004,"M","trans",80.2
"137","Distrito Federal",2004,"M","trans",74.7
"138","Durango",2004,"M","trans",56.3
"139","Guanajuato",2004,"M","trans",78.8
"140","Guerrero",2004,"M","trans",74.8
"141","Hidalgo",2004,"M","trans",65.9
"142","Jalisco",2004,"M","trans",77.8
"143","México",2004,"M","trans",84.3
"144","Michoacán",2004,"M","trans",69.4
"145","Morelos",2004,"M","trans",68
"146","Nayarit",2004,"M","trans",65.8
"147","Nuevo León",2004,"M","trans",64.2
"148","Oaxaca",2004,"M","trans",102.9
"149","Puebla",2004,"M","trans",102.2
"150","Querétaro",2004,"M","trans",79.8
"151","Quintana Roo",2004,"M","trans",79.9
"152","San Luis Potosí",2004,"M","trans",69.9
"153","Sinaloa",2004,"M","trans",57.3
"154","Sonora",2004,"M","trans",95.2
"155","Tabasco",2004,"M","trans",85.8
"156","Tamaulipas",2004,"M","trans",63.6
"157","Tlaxcala",2004,"M","trans",84.3
"158","Veracruz",2004,"M","trans",88.5
"159","Yucatán",2004,"M","trans",76.9
"160","Zacatecas",2004,"M","trans",71.1
"161","Aguascalientes",2005,"M","trans",65.5
"162","Baja California",2005,"M","trans",102.6
"163","Baja California Sur",2005,"M","trans",80.9
"164","Campeche",2005,"M","trans",68.8
"165","Coahuila",2005,"M","trans",67.4
"166","Colima",2005,"M","trans",90.3
"167","Chiapas",2005,"M","trans",113.9
"168","Chihuahua",2005,"M","trans",84.1
"169","Distrito Federal",2005,"M","trans",77.2
"170","Durango",2005,"M","trans",64.6
"171","Guanajuato",2005,"M","trans",77.4
"172","Guerrero",2005,"M","trans",70.5
"173","Hidalgo",2005,"M","trans",71
"174","Jalisco",2005,"M","trans",79.8
"175","México",2005,"M","trans",83.2
"176","Michoacán",2005,"M","trans",73.1
"177","Morelos",2005,"M","trans",78.3
"178","Nayarit",2005,"M","trans",70.7
"179","Nuevo León",2005,"M","trans",71.2
"180","Oaxaca",2005,"M","trans",98.7
"181","Puebla",2005,"M","trans",100.5
"182","Querétaro",2005,"M","trans",73.4
"183","Quintana Roo",2005,"M","trans",76.3
"184","San Luis Potosí",2005,"M","trans",67.8
"185","Sinaloa",2005,"M","trans",63.6
"186","Sonora",2005,"M","trans",104.6
"187","Tabasco",2005,"M","trans",91.5
